sentiment,tweet
-1,lagu bosan apa yang aku save ni huhuhuhuhuhuhuhuhuhuuuuuuuuuuuuuu
-1,kita lanjutkan saja diam ini hingga kau dan aku mengerti tidak semua kebersamaan harus melibatkan hati 
-1,aku tak faham betul jenis orang malaysia yang tak reti nak sangkut balik hose tu aku geli bodoh nak pegang 
-1,cerita dia macam ni mamat ni hari2 aku nampak keluar masuk cimb ceria ja tapi hari ni aku tengok muka dia masam aku p 
-1,aku aja capek sama diriku sendiri apalagi kamu maaf ya ' 
-1,aku cuba nak amalkan sikap pergi mampus tapi sayang aku gagal sebab aku jenis mudah kesian dan mudah memaafkan 
-1,commitmentetakat kehulu hilir together tapi tak put effort nak kahwin baik tinggalkan je bazir masa 
-1,kamu jahat dubu lt 
-1,aku nak tanya lah apa perasaan korang bila simpan duit dalam tabung kemudian anai2 makan duit tu 
-1,kalo gebetan kamu ngga pernah buang ludah di jalan pacarin 
-1,jangan dekat dengan aku aku tengah susah nanti aku senang aku panggil
-1,kesian belakang dengan laki lain and girl goes like mesti dia tak bagi attention sampai gf dia buat camtuh men are t 
-1,idm hallo ami tolobg bantu ya huhu ini aku masalah album ku yg ga sampe sampe 
-1,takde gf pun takpe imaginary gf pun also can lepastu lama lama aku jadi gila sekian
-1, tahun jadi bestfriend but gaduh sikit sampai 7 bulan tak tegur malam tadi aku koyak sikit pastu post gambar dia tetib 
-1,pacar kamu sibuk ya kok tumben komen wassap story aku 
-1,kucin datang bawah meja mintak makanan kau bagi lah apa yang ada jangan sepak2 pulak dia tak datang seekor dia datang ber 
-1,lepaskanlah dia tidak mau kamuadarlah jangan membatu 
-1,aku nak tanya lah apa perasaan korang bila simpan duit dalam tabung kemudian anai2 makan duit tu 
-1,tolong sebelum kau nak kacau orang yg aku sayang kau fikir dulu mcm mana perasaan kau bila ada orang kacau buah hati kau
-1,biasalah tu perempuan kena berjaga jaga muka malaikat pun kadang2 perangai syaitan jugak aku pernah gak camni lari laju teruk 
-1,aku benci soalan bala dgn amelia dh la takde duit nk pinjam pinjam lak cb tul pastu aku lak aku kena kire
-1,24 8 8 birthday abang aku dia ajak pergi makan aku tolak sebab kerja balik lambat nak ot 26 8 8 dia ajak per 
-1,kamu ga laku laku unn 
-1,aku try untuk lupakan benda tu tapi akhirnya benda tu buat aku jadi down ya allah tlg laa hilangkan kekecewaan yg ada 
-1,iyaaaa kasian donghae nya aku kelelep 
-1,aku juga pernah dah kek gitu 2x gaada hasil percumaa
-1,ku kira aku introvert ternyata karna nga punya uang aja jadi males ke mana mana 
-1,aku fakap betul kalau nak pergi makan ramai2 nak happy2 tetibe ada yang badmood woiiii nak makan je woiii 
-1,kalau awek kamu bising nothing is wrong once awek kamu dah senyap everything is wrong perhaps dia dah ada someone yg 
-1,pernah dan abis itu aku ga berani bawa motor selama beberapa hari dan pas mau bawa motor lagi gemeteran gitu
-1,gipewei lagi sedih nih aku seokjin rt fllw rep pict seokjin tag klo mau doain aku juga gpp ga juga gpp 
-1,yang apa kamu mengabulkan doa ku untuk klosdonecepatnya okey kalo itu mau kamu 
-1,makin lama rasa apebende laa aku melalut ni i better stop 
-1,dear makhluk hidup disekitarku kalo mau tau tanyain lgsung ke aku aja gausah lewat orang lain lumayan kan gak 
-1,member aku ade cite kat aku yang dibreak up dgn gf die time dia cerita suddenly dia menangis weyh 5 tahun bersama kot 
-1,hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu 
-1,kepada para suami aku nasihatkan jangan forward gambar ni kepada isteri aku baru forward tadi 
-1,aku tak faham betul lelaki tak suka perempuan pakai makeup 
-1,wasyuu 
-1,at least datang balik minta maaf okay lah daripada hilang dari radar tinggal aku tanpa pesan kau ingat senang ke nak stick to 
-1,macam mana nak tidur kalau still fikirkan orang yang kita sayang okay ke tak tu tidurnya lena ke dia perlukan aku tak ka 
-1,aku betul betul nak mintak bantuan korangemua untuk cari haji loqman bin haji azli ni mugkin korang tak kenal tapi mugkin 
-1,her miss kan taman safari jauh yo di pasuruan aku males nganterno andrew kesana kalo taman safarinya tak undang ke ru 
-1,4 modal nomad 5 ribuan dan sekotak popcorn modus mesum dilancarkan pertama tama kamu merasa aneh lama lama kamu izinkan maksiat
-1,terkadang allah kasih tahu kalau sesuatu itu bukan buat kamu dengan cara yg menyakitkan 
-1,back then in school cikgu semua macam eh jangan bercinta sekarang nanti kat uni lagi handsome handsome kamu jumpa now i 
-1,masih ingat lagi tak macam mana mula mula kita kenal dulu awal nya aku tertawa dan akhirnya aku menangis 
-1,kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl 
-1,iya hubungin aku aja ya butuh dosa berapa banyak lagi wkwk
-1,kalau mahal service bagus takpe ini streamyx aku kat rumah pun barai 
-1,sejauh aku berjalan sampai dahlia baru perasan tertinggal labcoat kat dinamik sobss
-1,sudah waktunya aku mulai menjalani hidupku sendiri mello death note 
-1,nampak la org lain semua dp gambar kawen dengan husband aku je dp gambar ambik sendiri 
-1,i dont know lah nak kata macam mana sekarangebab aku sorang yang rasa sakit so orang lain dont judge me
-1,mu gemes banget adminnya aku ga jadi marah 
-1,bisaan aja kamu naruto padahal emang pengen nyium tp mukaku yg disalahin gt lt 
-1,keluar airmata jantan aku baca 
-1,siapa dapat first impression macam niumpah aku ingat kau dulu sombong gila orang pun cakap kau macam sombong aku p 
-1,wah pas nonton berita ada yang dilamar pas wisuda jadi ingin aku tuh tapi yang nak melamar pon siape 
-1,aku merasa seperti aku tidak bisa melakukan apapun tanpa elfungmin 
-1,dalam instagram facebok twitter cantik depan depan takde la cantik mana bagitahu akuekarangiapa je yang nak upl 
-1,bayangkan kalau posisi kamu lg di bwah dan orng lain melihat kita rendah karna materi yang kita punya
